row_id,order,amount,y
2987000,86400,68.5,0
2987001,86401,29.0,0
2987002,86469,59.0,0
2987003,86499,50.0,0
2987004,86506,50.0,0
2987005,86510,49.0,0
2987006,86522,159.0,0
2987007,86529,422.5,0
2987008,86535,15.0,0
2987009,86536,117.0,0
2987010,86549,75.887,0
2987011,86555,16.495,0
2987012,86564,50.0,0
2987013,86585,40.0,0
2987014,86596,10.5,0
2987015,86618,57.95,0
2987016,86620,30.0,0
2987017,86668,100.0,0
2987018,86725,47.95,0
2987019,86730,186.0,0
2987020,86761,39.0,0
2987021,86769,159.95,0
2987022,86786,50.0,0
2987023,86808,107.95,0
2987024,86821,73.95,0
2987025,86944,107.95,0
2987026,86945,184.0,0
2987027,86972,47.95,0
2987028,86973,20.0,0
2987029,86979,36.99,0
2987030,86994,35.0,0
2987031,86998,363.89,0
2987032,87008,200.0,0
2987033,87078,40.0,0
2987034,87135,107.95,0
2987035,87140,107.95,0
2987036,87149,77.0,0
2987037,87161,21.95,0
2987038,87172,25.0,0
2987039,87202,39.95,0
2987040,87209,75.887,0
2987041,87220,774.0,0
2987042,87233,117.0,0
2987043,87248,49.0,0
2987044,87266,39.5,0
2987045,87275,36.95,0
2987046,87285,49.0,0
2987047,87285,15.0,0
2987048,87317,42.294,0
2987049,87317,3.595,0
2987050,87319,117.0,0
2987051,87328,226.0,0
2987052,87333,117.0,0
2987053,87349,130.95,0
2987054,87401,34.0,0
2987055,87413,210.95,0
2987056,87440,500.0,0
2987057,87445,50.0,0
2987058,87532,380.21,0
2987059,87557,35.95,0
2987060,87581,2454.0,0
2987061,87596,58.95,0
2987062,87601,200.0,0
2987063,87604,80.0,0
2987064,87611,250.0,0
2987065,87650,114.95,0
2987066,87660,300.0,0
2987067,87664,445.0,0
2987068,87667,3.081,0
2987069,87725,20.0,0
2987070,87735,100.0,0
2987071,87736,59.0,0
2987072,87752,6.767,0
2987073,87759,554.0,0
2987074,87775,27.793,0
2987075,87779,68.5,0
2987076,87787,36.95,0
2987077,87793,280.0,0
2987078,87825,300.0,0
2987079,87839,28.699,0
2987080,87856,60.0,0
2987081,87868,104.95,0
2987082,87899,280.0,0
2987083,87924,411.95,0
2987084,87928,125.674,0
2987085,87935,42.596,0
2987086,87950,44.5,0
2987087,88004,88.95,0
2987088,88021,140.0,0
2987089,88042,318.95,0
2987090,88046,77.821,0
2987091,88053,107.0,0
2987092,88054,117.0,0
2987093,88070,50.0,0
2987094,88107,527.0,0
2987095,88120,59.0,0
2987096,88131,108.5,0
2987097,88147,21.5,0
2987098,88149,159.0,0
2987099,88162,75.0,0
2987100,88169,100.0,0
2987101,88174,25.0,0
2987102,88178,42.95,0
2987103,88184,47.95,0
2987104,88208,100.0,0
2987105,88229,5.075,0
2987106,88230,92.0,0
2987107,88258,226.0,0
2987108,88303,150.0,0
2987109,88346,107.95,0
2987110,88380,1153.95,0
2987111,88383,18.186,0
2987112,88394,210.95,0
2987113,88404,11.782,0
2987114,88404,4.433,0
2987115,88410,75.0,0
2987116,88435,34.0,0
2987117,88440,200.0,0
2987118,88471,11.782,0
2987119,88484,100.0,0
2987120,88507,59.0,0
2987121,88517,50.0,0
2987122,88538,80.0,0
2987123,88549,59.0,0
2987124,88554,58.95,0
2987125,88556,50.0,0
2987126,88579,87.95,0
2987127,88586,107.95,0
2987128,88589,57.95,0
2987129,88607,50.0,0
2987130,88619,70.933,0
2987131,88628,444.61,0
2987132,88638,757.07,0
2987133,88647,2594.95,0
2987134,88657,117.0,0
2987135,88671,3000.0,0
2987136,88688,30.0,0
2987137,88704,56.95,0
2987138,88725,100.0,0
2987139,88735,129.299,0
2987140,88743,208.43,0
2987141,88755,200.0,0
2987142,88777,23.806,0
2987143,88778,100.0,0
2987144,88803,200.0,0
2987145,88805,100.0,0
2987146,88818,23.806,0
2987147,88819,25.95,0
2987148,88842,30.0,0
2987149,88849,43.95,0
2987150,88880,117.0,0
2987151,88897,49.0,0
2987152,88907,587.82,0
2987153,88910,29.0,0
2987154,88912,35.95,0
2987155,88943,479.95,0
2987156,88965,50.0,0
2987157,88997,30.0,0
2987158,88997,171.0,0
2987159,89072,92.95,0
2987160,89075,29.0,0
2987161,89085,107.95,0
2987162,89095,100.0,0
2987163,89103,973.95,0
2987164,89133,34.0,0
2987165,89134,39.0,0
2987166,89147,26.5,0
2987167,89169,100.0,0
2987168,89180,36.95,0
2987169,89185,100.0,0
2987170,89189,20.0,0
2987171,89211,34.0,0
2987172,89225,159.95,0
2987173,89230,25.0,0
2987174,89250,107.95,0
2987175,89268,117.0,0
2987176,89283,39.0,0
2987177,89341,306.47,0
2987178,89372,445.0,0
2987179,89393,424.95,0
2987180,89404,83.95,0
2987181,89437,171.0,0
2987182,89439,311.95,0
2987183,89444,200.0,0
2987184,89466,112.99,0
2987185,89483,359.91,0
2987186,89513,117.0,0
2987187,89542,50.0,0
2987188,89545,12.0,0
2987189,89561,57.399,0
2987190,89565,32.325,0
2987191,89597,26.5,0
2987192,89600,5.982,0
2987193,89611,28.699,0
2987194,89624,1486.44,0
2987195,89625,59.0,0
2987196,89633,8.641,0
2987197,89663,66.0,0
2987198,89663,15.0,0
2987199,89665,19.455,0
2987200,89666,34.0,0
2987201,89699,2547.46,0
2987202,89719,47.95,0
2987203,89760,445.0,1
2987204,89785,47.95,0
2987205,89793,28.699,0
2987206,89793,39.0,0
2987207,89828,25.0,0
2987208,89834,120.95,0
2987209,89836,21.993,0
2987210,89837,2948.95,0
2987211,89840,15.0,0
2987212,89844,117.0,0
2987213,89867,499.95,0
2987214,89878,99.0,0
2987215,89886,209.95,0
2987216,89916,100.0,0
2987217,89924,15.0,0
2987218,89930,117.0,0
2987219,89931,50.0,0
2987220,89940,49.0,0
2987221,89941,68.5,0
2987222,89942,590.4,0
