order,amount,y
0.0,149.62,0
0.0,2.69,0
1.0,123.5,0
2.0,69.99,0
4.0,4.99,0
7.0,93.2,0
10.0,9.99,0
10.0,121.5,0
12.0,58.8,0
12.0,12.99,0
16.0,231.71,0
17.0,34.09,0
18.0,2.28,0
18.0,22.75,0
22.0,0.89,0
22.0,26.43,0
23.0,41.88,0
23.0,33.0,0
23.0,12.99,0
24.0,17.28,0
25.0,4.45,0
26.0,6.14,0
26.0,1.77,0
26.0,1.77,0
29.0,20.53,0
29.0,6.54,0
32.0,2.35,0
33.0,14.8,0
34.0,15.99,0
35.0,30.9,0
35.0,20.22,0
36.0,7.99,0
36.0,2.09,0
37.0,0.99,0
38.0,21.76,0
39.0,13.84,0
40.0,13.84,0
41.0,169.05,0
41.0,96.94,0
41.0,34.13,0
42.0,32.51,0
44.0,21.55,0
46.0,67.97,0
49.0,13.18,0
49.0,59.99,0
49.0,135.51,0
50.0,14.8,0
51.0,1.98,0
53.0,89.17,0
54.0,7.53,0
55.0,0.76,0
56.0,20.22,0
56.0,10.84,0
59.0,1142.02,0
59.0,149.9,0
60.0,89.4,0
60.0,26.72,0
64.0,34.7,0
64.0,54.99,0
64.0,7.55,0
67.0,19.85,0
67.0,28.28,0
68.0,2.69,0
68.0,22.36,0
69.0,0.78,0
69.0,168.56,0
69.0,0.76,0
69.0,9.47,0
70.0,21.8,0
71.0,14.48,0
73.0,1.0,0
73.0,1.0,0
73.0,70.6,0
73.0,19.77,0
74.0,1.18,0
74.0,1.18,0
74.0,1.18,0
74.0,1.18,0
76.0,50.0,0
76.0,86.43,0
77.0,11.83,0
77.0,49.95,0
77.0,9.12,0
78.0,104.94,0
78.0,4.68,0
78.0,62.92,0
78.0,18.31,0
80.0,32.51,0
80.0,39.95,0
81.0,68.74,0
82.0,79.0,0
82.0,5.9,0
83.0,552.18,0
84.0,67.3,0
84.0,21.97,0
84.0,4.99,0
85.0,124.67,0
87.0,919.6,0
89.0,459.39,0
89.0,37.13,0
91.0,1.98,0
91.0,15.89,0
92.0,268.78,0
93.0,322.44,0
93.0,937.69,0
95.0,69.0,0
95.0,1.29,0
97.0,17.8,0
98.0,14.98,0
99.0,142.71,0
103.0,23.27,0
103.0,9.99,0
103.0,3828.04,0
105.0,35.97,0
106.0,24.57,0
108.0,25.8,0
110.0,110.4,0
110.0,13.95,0
112.0,937.69,0
112.0,54.99,0
113.0,31.17,0
115.0,137.0,0
117.0,37.89,0
118.0,2.69,0
118.0,20.0,0
123.0,40.0,0
123.0,160.86,0
124.0,8.93,0
125.0,43.71,0
125.0,165.55,0
127.0,1.54,0
128.0,10.0,0
128.0,8.8,0
130.0,5.97,0
130.0,15.93,0
131.0,10.0,0
132.0,3.87,0
133.0,35.97,0
135.0,22.37,0
135.0,23.57,0
137.0,226.07,0
139.0,58.0,0
140.0,65.0,0
140.0,11.0,0
140.0,169.0,0
141.0,9.9,0
144.0,15.36,0
145.0,9.9,0
145.0,6.0,0
145.0,6.74,0
147.0,0.89,0
150.0,0.89,0
152.0,614.87,0
155.0,1.29,0
156.0,500.0,0
158.0,1.79,0
158.0,10.0,0
160.0,20.0,0
162.0,22.0,0
164.0,2.28,0
164.0,65.26,0
168.0,42.9,0
169.0,355.51,0
171.0,0.89,0
172.0,2.29,0
172.0,1.29,0
179.0,27.99,0
180.0,23.63,0
180.0,48.0,0
183.0,75.83,0
184.0,1.98,0
184.0,1.98,0
185.0,4.65,0
187.0,23.32,0
188.0,8.09,0
190.0,82.29,0
190.0,99.95,0
190.0,20.0,0
190.0,20.7,0
192.0,1.79,0
193.0,37.2,0
194.0,1.0,0
194.0,32.77,0
196.0,0.89,0
196.0,63.9,0
199.0,6.45,0
199.0,9.99,0
200.0,196.7,0
200.0,79.0,0
204.0,137.3,0
204.0,39.94,0
204.0,1.98,0
205.0,12.99,0
206.0,153.91,0
206.0,101.0,0
206.0,10.27,0
209.0,1.19,0
209.0,45.0,0
209.0,95.56,0
210.0,12.99,0
211.0,70.0,0
213.0,4.38,0
217.0,24.0,0
218.0,1.0,0
218.0,17.56,0
218.0,12.99,0
220.0,18.96,0
220.0,22.58,0
221.0,99.82,0
221.0,25.36,0
222.0,7.81,0
222.0,18.61,0
222.0,49.99,0
222.0,17.24,0
225.0,34.0,0
225.0,35.11,0
227.0,1.0,0
228.0,45.3,0
230.0,79.18,0
231.0,1.98,0
235.0,25.0,0
236.0,0.99,0
236.0,7.14,0
237.0,9.99,0
238.0,8.99,0
239.0,10.0,0
241.0,10.62,0
241.0,4.81,0
241.0,12.2,0
241.0,12.31,0
242.0,2.69,0
244.0,100.37,0
246.0,1.5,0
246.0,1.98,0
247.0,18.94,0
248.0,10.0,0
249.0,13.28,0
251.0,120.0,0
252.0,231.71,0
257.0,1.98,0
259.0,20.17,0
259.0,9.99,0
259.0,55.45,0
260.0,26.5,0
260.0,99.0,0
260.0,5.46,0
261.0,1.98,0
265.0,24.84,0
265.0,13.08,0
265.0,1.0,0
266.0,10.35,0
267.0,122.36,0
267.0,2.28,0
268.0,6.54,0
269.0,6.47,0
271.0,0.89,0
272.0,208.38,0
273.0,18.0,0
274.0,1.98,0
275.0,70.33,0
278.0,2.69,0
279.0,19.29,0
280.0,109.15,0
282.0,0.0,0
282.0,27.0,0
282.0,2.0,0
282.0,11.64,0
283.0,94.5,0
283.0,2.31,0
284.0,11.99,0
285.0,8.99,0
287.0,160.0,0
288.0,380.95,0
288.0,156.98,0
288.0,6.54,0
289.0,74.47,0
290.0,30.5,0
290.0,85.0,0
290.0,67.36,0
292.0,23.88,0
293.0,5.0,0
294.0,73.0,0
294.0,33.33,0
297.0,54.75,0
297.0,12.31,0
298.0,13.99,0
302.0,90.0,0
302.0,9.99,0
303.0,90.0,0
307.0,52.9,0
307.0,9.97,0
309.0,14.6,0
310.0,7.8,0
310.0,22.09,0
311.0,11.5,0
311.0,8.58,0
312.0,493.44,0
313.0,68.0,0
315.0,11.46,0
315.0,69.99,0
317.0,19.99,0
317.0,7.69,0
318.0,10.0,0
322.0,1.79,0
322.0,29.56,0
323.0,0.77,0
323.0,52.0,0
324.0,0.89,0
327.0,36.71,0
328.0,2.5,0
330.0,32.38,0
331.0,0.89,0
332.0,11.34,0
333.0,75.0,0
333.0,216.0,0
335.0,1.03,0
335.0,4.8,0
336.0,7.72,0
339.0,2.0,0
339.0,98.0,0
340.0,47.0,0
340.0,0.99,0
341.0,22.0,0
341.0,62.63,0
342.0,197.63,0
343.0,75.83,0
344.0,456.71,0
346.0,6.0,0
346.0,5.0,0
346.0,10.99,0
347.0,204.03,0
348.0,3.99,0
351.0,12.99,0
352.0,2.67,0
353.0,12.87,0
353.0,611.76,0
354.0,2.31,0
354.0,23.88,0
355.0,2.61,0
355.0,19.64,0
356.0,20.48,0
356.0,105.87,0
356.0,15.0,0
357.0,0.75,0
358.0,17.43,0
358.0,41.64,0
359.0,1.29,0
360.0,0.89,0
362.0,79.0,0
363.0,37.92,0
365.0,74.22,0
366.0,9.99,0
367.0,1.29,0
368.0,1.98,0
368.0,1.98,0
369.0,1.0,0
369.0,32.63,0
370.0,4.79,0
373.0,10.29,0
373.0,1.79,0
375.0,29.18,0
376.0,12.89,0
376.0,4.45,0
376.0,11.39,0
377.0,40.83,0
378.0,85.25,0
379.0,881.13,0
380.0,0.0,0
382.0,45.38,0
383.0,17.99,0
383.0,16.0,0
384.0,510.22,0
386.0,1.0,0
386.0,575.33,0
387.0,10.0,0
388.0,12.99,0
388.0,9.99,0
389.0,8.93,0
391.0,27.7,0
392.0,82.29,0
394.0,1.55,0
399.0,15.19,0
403.0,411.88,0
403.0,52.4,0
405.0,27.13,0
406.0,46.68,0
408.0,7.3,0
409.0,0.77,0
410.0,56.09,0
410.0,0.89,0
411.0,235.7,0
411.0,10.0,0
414.0,29.99,0
415.0,24.02,0
417.0,29.99,0
421.0,10.69,0
421.0,12.41,0
421.0,1.0,0
422.0,60.92,0
423.0,43.34,0
