row,part
0,train
1,train
3,train
4,train
6,train
8,train
11,train
12,train
14,train
16,train
20,train
21,train
22,train
23,train
24,train
25,train
26,train
28,train
29,train
30,train
31,train
33,train
34,train
35,train
38,train
39,train
41,train
42,train
44,train
48,train
49,train
52,train
53,train
54,train
55,train
57,train
58,train
60,train
61,train
62,train
63,train
65,train
70,train
75,train
76,train
77,train
79,train
80,train
83,train
84,train
86,train
87,train
88,train
89,train
90,train
91,train
92,train
94,train
95,train
96,train
97,train
98,train
100,train
101,train
102,train
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,train
115,train
117,train
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,train
127,train
128,train
129,train
130,train
131,train
134,train
135,train
136,train
137,train
139,train
140,train
142,train
143,train
144,train
145,train
147,train
149,train
150,train
151,train
154,train
155,train
156,train
158,train
161,train
162,train
164,train
165,train
167,train
170,train
171,train
172,train
174,train
175,train
176,train
179,train
180,train
182,train
183,train
185,train
186,train
187,train
190,train
191,train
193,train
194,train
195,train
196,train
197,train
198,train
199,train
201,train
202,train
204,train
206,train
208,train
210,train
211,train
213,train
214,train
218,train
219,train
221,train
222,train
225,train
226,train
227,train
233,train
235,train
237,train
238,train
239,train
241,train
242,train
243,train
248,train
249,train
250,train
252,train
253,train
254,train
255,train
256,train
260,train
261,train
262,train
263,train
264,train
265,train
266,train
267,train
268,train
270,train
271,train
272,train
273,train
274,train
276,train
277,train
278,train
280,train
281,train
282,train
283,train
284,train
285,train
286,train
287,train
288,train
289,train
291,train
292,train
293,train
295,train
297,train
298,train
300,train
301,train
302,train
303,train
304,train
305,train
306,train
307,train
308,train
309,train
310,train
311,train
312,train
313,train
314,train
316,train
317,train
319,train
321,train
322,train
323,train
324,train
326,train
327,train
328,train
329,train
330,train
331,train
332,train
333,train
334,train
335,train
337,train
338,train
339,train
342,train
344,train
347,train
349,train
350,train
351,train
353,train
354,train
355,train
356,train
358,train
359,train
361,train
362,train
365,train
366,train
367,train
369,train
371,train
373,train
376,train
377,train
378,train
379,train
380,train
382,train
383,train
384,train
385,train
386,train
387,train
388,train
391,train
394,train
395,train
